NAME_1,CC_1,pop20,pop21,pop22
Aceh,11,5274.9,5333.7,5407.9
SumateraUtara,12,14799.4,14936.2,15115.2
SumateraBarat,13,5534.5,5580.2,5640.6
Riau,14,6394.1,6493.6,6614.4
KepulauanRiau,21,2064.6,2118.2,2179.8
Jambi,15,3548.2,3585.1,3631.1
SumateraSelatan,16,8467.4,8550.9,8657.0
BangkaBelitung,19,1455.7,1473.2,1494.6
Bengkulu,17,2010.7,2032.9,2060.1
Lampung,18,9007.8,9081.8,9176.6
JakartaRaya,31,10562.1,10609.7,10680.0
JawaBarat,32,48274.2,48782.4,49405.8
Banten,36,11904.6,12061.5,12252.0
JawaTengah,33,36516.0,36742.5,37032.4
Yogyakarta,34,3668.7,3712.9,3761.9
JawaTimur,35,40665.7,40878.8,41150.0
KalimantanBarat,61,5414.4,5470.8,5541.4
KalimantanTengah,62,2670.0,2702.2,2741.1
KalimantanSelatan,63,4073.6,4122.6,4182.1
KalimantanTimur,64,3766.0,3808.2,3859.8
KalimantanUtara,65,701.8,713.6,727.8
SulawesiUtara,71,2621.9,2638.6,2659.5
Gorontalo,75,1171.7,1181.0,1192.7
SulawesiTengah,72,2985.7,3021.9,3066.1
SulawesiSelatan,73,9073.5,9139.5,9225.8
SulawesiBarat,76,1419.2,1436.8,1458.6
SulawesiTenggara,74,2624.9,2659.2,2701.7
Bali,51,4317.4,4362.7,4415.1
NusaTenggaraBarat,52,5320.1,5390.0,5473.7
NusaTenggaraTimur,53,5325.6,5387.7,5466.3
Maluku,81,1848.9,1862.6,1881.7
MalukuUtara,82,1282.9,1299.2,1319.3
PapuaBarat,91,1134.1,1156.8,1183.3
Papua,94,4303.7,4355.5,4418.6
